index,lang_id
1,sot
2,nso
3,nbl
4,ssw
5,eng
6,tsn
7,sot
8,nso
9,xho
10,nso
11,tso
12,sot
13,tso
14,nso
15,ssw
16,xho
17,nbl
18,zul
19,afr
20,nso
21,afr
22,tsn
23,ssw
24,ven
25,tsn
26,xho
27,nso
28,ven
29,tsn
30,tso
31,nso
32,nbl
33,sot
34,tsn
35,ssw
36,sot
37,tsn
38,ssw
39,tsn
40,nbl
41,ssw
42,eng
43,tsn
44,sot
45,zul
46,nbl
47,sot
48,sot
49,afr
50,afr
51,eng
52,nbl
53,sot
54,sot
55,nbl
56,tso
57,tso
58,afr
59,xho
60,eng
61,tsn
62,tso
63,afr
64,tsn
65,zul
66,ven
67,tsn
68,tso
69,tso
70,sot
71,zul
72,tsn
73,ssw
74,ven
75,sot
76,ven
77,ssw
78,tso
79,nso
80,ssw
81,tsn
82,nso
83,xho
84,afr
85,sot
86,afr
87,sot
88,tso
89,afr
90,ssw
91,tsn
92,xho
93,zul
94,tso
95,eng
96,nso
97,afr
98,xho
99,nbl
100,ssw
101,afr
102,tso
103,tso
104,nbl
105,tso
106,ven
107,eng
108,tsn
109,eng
110,sot
111,eng
112,ven
113,nbl
114,tso
115,nso
116,nso
117,tso
118,xho
119,eng
120,nbl
121,tsn
122,eng
123,zul
124,tsn
125,nso
126,nso
127,afr
128,tso
129,tsn
130,tsn
131,xho
132,sot
133,zul
134,tso
135,eng
136,ssw
137,xho
138,eng
139,xho
140,afr
141,sot
142,tso
143,tso
144,nso
145,tso
146,ven
147,tso
148,tso
149,nbl
150,ven
151,nso
152,nbl
153,nbl
154,tsn
155,ssw
156,ssw
157,ven
158,nso
159,tsn
160,sot
161,ven
162,tso
163,tsn
164,ven
165,eng
166,sot
167,xho
168,nso
169,sot
170,nso
171,nso
172,ven
173,tso
174,afr
175,tso
176,sot
177,tsn
178,xho
179,tso
180,ssw
181,tso
182,tsn
183,tso
184,nbl
185,sot
186,eng
187,zul
188,nso
189,nbl
190,afr
191,nbl
192,tsn
193,sot
194,nso
195,nbl
196,tsn
197,sot
198,nso
199,zul
200,eng
201,sot
202,tso
203,afr
204,ven
205,ven
206,nso
207,nbl
208,tso
209,tsn
210,afr
211,nbl
212,sot
213,sot
214,zul
215,ven
216,afr
217,sot
218,tso
219,nso
220,afr
221,tso
222,nbl
223,afr
224,eng
225,eng
226,nso
227,sot
228,eng
229,nbl
230,tsn
231,eng
232,ven
233,tsn
234,sot
235,ssw
236,ssw
237,tsn
238,tso
239,sot
240,tsn
241,eng
242,tso
243,ssw
244,nbl
245,ssw
246,tsn
247,zul
248,tsn
249,nbl
250,xho
251,nso
252,tsn
253,tsn
254,afr
255,ssw
256,nbl
257,nso
258,ven
259,ven
260,tsn
261,xho
262,sot
263,nbl
264,sot
265,tso
266,ssw
267,tso
268,ssw
269,nbl
270,ven
271,tso
272,afr
273,nso
274,tsn
275,sot
276,sot
277,sot
278,nso
279,eng
280,sot
281,tso
282,tsn
283,sot
284,nbl
285,sot
286,eng
287,tsn
288,ven
289,eng
290,tsn
291,nso
292,xho
293,tso
294,nbl
295,sot
296,zul
297,tso
298,tsn
299,nbl
300,tso
301,zul
302,tsn
303,xho
304,eng
305,ven
306,eng
307,nso
308,eng
309,afr
310,zul
311,afr
312,nbl
313,tsn
314,nbl
315,afr
316,tsn
317,afr
318,sot
319,nbl
320,ven
321,sot
322,xho
323,sot
324,tsn
325,nbl
326,sot
327,tso
328,tso
329,afr
330,afr
331,tsn
332,xho
333,ssw
334,nso
335,tsn
336,afr
337,afr
338,ven
339,eng
340,nso
341,sot
342,tso
343,eng
344,sot
345,sot
346,tsn
347,sot
348,tso
349,afr
350,afr
351,ven
352,nbl
353,nso
354,nso
355,afr
356,ven
357,nbl
358,tsn
359,tsn
360,ven
361,afr
362,tso
363,nso
364,sot
365,tso
366,nbl
367,zul
368,nbl
369,eng
370,afr
371,zul
372,afr
373,tsn
374,zul
375,ssw
376,eng
377,sot
378,tso
379,tsn
380,zul
381,tso
382,sot
383,xho
384,afr
385,ven
386,tsn
387,ssw
388,sot
389,nbl
390,tso
391,ven
392,afr
393,ven
394,afr
395,zul
396,nso
397,afr
398,afr
399,sot
400,nbl
401,tsn
402,ssw
403,nso
404,nso
405,afr
406,tsn
407,tso
408,zul
409,tso
410,tso
411,nbl
412,xho
413,tsn
414,sot
415,xho
416,tsn
417,nso
418,tsn
419,tso
420,xho
421,nso
422,tso
423,ven
424,nbl
425,ven
426,tsn
427,sot
428,xho
429,nbl
430,nbl
431,tsn
432,sot
433,tsn
434,tsn
435,afr
436,ven
437,ven
438,ven
439,sot
440,ven
441,nso
442,xho
443,sot
444,tso
445,ssw
446,nso
447,sot
448,tsn
449,nso
450,ssw
451,ssw
452,afr
453,tsn
454,ven
455,tsn
456,ven
457,eng
458,nso
459,afr
460,nso
461,tso
462,ssw
463,ssw
464,tso
465,sot
466,tso
467,zul
468,xho
469,nbl
470,nbl
471,sot
472,zul
473,afr
474,zul
475,tsn
476,ssw
477,nbl
478,nso
479,ssw
480,tso
481,zul
482,tso
483,afr
484,xho
485,sot
486,ssw
487,ven
488,nbl
489,tsn
490,tsn
491,afr
492,afr
493,sot
494,ven
495,tsn
496,tso
497,nso
498,nbl
499,nbl
500,tsn
501,ssw
502,nso
503,zul
504,tsn
505,tsn
506,ven
507,sot
508,tso
509,afr
510,sot
511,nso
512,nbl
513,eng
514,tso
515,ven
516,nso
517,ven
518,afr
519,nso
520,tso
521,eng
522,ssw
523,eng
524,ven
525,afr
526,ven
527,eng
528,ven
529,tsn
530,sot
531,zul
532,afr
533,sot
534,sot
535,tsn
536,sot
